Date,AAL.L,ABDN.L,ABF.L,ADM.L,AHT.L,ANTO.L,AV.L,AVV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,DPH.L,ECM.L,ENT.L,EVR.L,EXPN.L,FERG.L,FLTR.L,FRES.L,GLEN.L,GSK.L,HIK.L,HL.L,HLMA.L,HSBA.L,IAG.L,ICP.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MGGT.L,MNDI.L,MRO.L,NG.L,NWG.L,NXT.L,OCDO.L,PHNX.L,POLY.L,PRU.L,PSN.L,PSON.L,RDSA.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
2012-01-03,2485.4921875,287.0474853515625,1115.0,880.0,230.1999969482422,1305.0,311.8999938964844,1274.9466552734375,3050.0,294.8999938964844,172.09359741210938,3079.0,92.5,1264.0,467.8999938964844,883.0,471.0499877929688,1243.0,199.1000061035156,680.6806030273438,2018.6136474609373,1305.0,1625.7640380859375,1428.0,468.1834106445313,208.5,123.5,391.5,880.0,2447.126708984375,2043.5491943359373,1594.0,418.1499938964844,1484.5,646.5,437.0,347.5,504.8999938964844,151.1999969482422,313.4248962402344,1806.9681396484373,187.8000030517578,2444.0,336.59210205078125,2072.0,70.3499984741211,6.235000133514404,250.0,684.7999877929688,106.3000030517578,27.040000915527344,748.4312133789062,358.0,479.6000061035156,52.96329879760742,688.9088134765625,210.1000061035156,2741.0,60.150001525878906,391.4425048828125,1130.0,534.256591796875,471.5,1234.0,2380.0,523.5,3325.0,3204.8994140625,127.9000015258789,259.7782897949219,65.69999694824219,310.29998779296875,1354.0,315.47930908203125,202.20230102539065,485.0,132.1031951904297,948.5,120.0,626.0,2076.306884765625,1303.0,1383.9144287109375,332.6000061035156,1520.0,520.9163818359375,37.369998931884766,2189.0,611.5,188.4561004638672,682.0,1372.8780517578125
2012-01-04,2460.109619140625,286.0697021484375,1105.0,877.5,223.3000030517578,1269.0,309.0,1275.8023681640625,3034.5,286.6000061035156,173.9873046875,3064.5,91.3000030517578,1226.0,464.5,888.5,473.4500122070313,1219.0,198.0,677.3656005859375,2005.45751953125,1285.0,1618.010009765625,1412.0,465.9172973632813,208.5,121.5,389.3999938964844,866.5,2425.460693359375,2080.791748046875,1569.0,405.0,1483.0,657.0,434.8999938964844,339.1000061035156,500.0,149.39999389648438,315.9186096191406,1790.1236572265625,183.8999938964844,2443.0,335.57940673828125,2063.0,71.05000305175781,6.079999923706055,248.8000030517578,670.4000244140625,105.3000030517578,26.59499931335449,746.12841796875,356.8999938964844,469.2999877929688,53.44879913330078,687.2723999023438,207.6000061035156,2656.0,57.84999847412109,404.8633117675781,1124.0,533.0140991210938,472.2000122070313,1229.0,2370.0,518.5,3342.0,3191.2158203125,128.8000030517578,257.3760986328125,64.69999694824219,305.5,1315.0,308.2207946777344,199.7165985107422,488.75,129.98800659179688,938.5,119.0999984741211,626.0,2035.3839111328125,1310.0,1372.4927978515625,329.0,1537.0,513.6331176757812,37.0,2156.0,620.5,187.67410278320312,679.0,1356.5548095703125
2012-01-05,2443.685791015625,282.0188903808594,1113.0,866.0,217.8999938964844,1263.0,303.5,1240.719970703125,3009.5,287.0,169.6457061767578,3032.5,89.94999694824219,1235.0,468.1000061035156,882.0,474.0499877929688,1203.0,194.8999938964844,663.5531005859375,1997.71240234375,1242.0,1605.947998046875,1415.0,469.08990478515625,208.5,121.5,386.5,854.0,2441.425048828125,2064.09375,1620.0,394.25,1482.0,654.5,430.0,336.3999938964844,497.6000061035156,145.5,303.5810852050781,1776.341552734375,176.8000030517578,2424.0,327.5697021484375,2047.0,69.44999694824219,5.925000190734863,247.3999938964844,678.9332885742188,103.0,26.350000381469727,722.1785888671875,356.6000061035156,461.6000061035156,52.62950134277344,668.7269897460938,202.6999969482422,2614.0,57.20000076293945,395.1705017089844,1116.0,524.7310791015625,473.0,1212.0,2350.0,510.0,3321.0,3200.012451171875,126.5,258.7488098144531,63.54999923706055,298.0,1289.0,310.00909423828125,195.12759399414065,488.0,126.46269989013672,936.5,118.4000015258789,606.0,2000.92236328125,1291.0,1365.8302001953125,320.1000061035156,1532.0,498.9397888183594,36.93000030517578,2170.0,618.5,184.85899353027344,669.0,1345.38623046875
2012-01-06,2457.62109375,280.6221008300781,1119.0,844.5,220.6999969482422,1270.0,301.5,1251.8436279296875,3042.5,287.79998779296875,172.18600463867188,3038.0,92.9000015258789,1256.0,460.2999877929688,887.5,477.0499877929688,1250.0,196.0,668.5255737304688,2005.45751953125,1216.0,1658.5030517578125,1414.5,470.9028015136719,208.5,121.5,385.7999877929688,853.0,2416.337890625,2080.791748046875,1661.0,395.25,1497.0,657.5,424.0,336.8999938964844,498.2000122070313,146.5,304.76239013671875,1797.7802734375,178.3000030517578,2411.0,331.89678955078125,2062.0,71.3499984741211,6.599999904632568,249.6999969482422,662.9332885742188,104.1999969482422,27.11000061035156,719.4151000976562,357.0,472.8999938964844,52.88750076293945,664.9088134765625,205.1000061035156,2579.0,58.04999923706055,404.4905090332031,1126.0,528.0443115234375,481.0,1229.0,2385.0,509.0,3313.5,3199.03515625,131.8000030517578,259.26348876953125,64.5999984741211,298.79998779296875,1295.0,314.6376953125,191.30340576171875,492.0,126.91130065917967,942.0,119.5999984741211,607.0,2020.3070068359373,1285.0,1352.5050048828125,329.5,1534.0,495.1398010253906,37.369998931884766,2123.0,613.0,187.15280151367188,690.0,1365.14599609375
2012-01-09,2427.26171875,277.8284912109375,1116.0,825.5,225.0,1234.0,299.0,1265.534423828125,3009.0,289.20001220703125,164.51890563964844,3010.0,94.9499969482422,1289.0,455.2999877929688,892.0,473.6000061035156,1278.0,196.3999938964844,668.5255737304688,2005.45751953125,1206.0,1658.9339599609375,1416.0,458.21240234375,208.5,127.5,393.0,864.5,2371.865478515625,2080.791748046875,1638.0,398.6499938964844,1435.0,651.0,412.2000122070313,338.0,491.3999938964844,144.1999969482422,298.72491455078125,1829.938232421875,175.60000610351562,2405.0,330.2395935058594,2088.0,70.3499984741211,7.0,251.6000061035156,659.2000122070312,103.0999984741211,26.190000534057617,718.0333862304688,356.5,463.2999877929688,52.85710144042969,680.7269897460938,200.6999969482422,2573.0,56.0,411.2009887695313,1118.0,526.8018798828125,506.5,1226.0,2384.0,508.5,3311.0,3232.2666015625,132.89999389648438,259.606689453125,66.0,300.0,1256.0,315.2688903808594,189.48699951171875,485.0,130.11619567871094,940.0,119.0,600.5,2035.3839111328125,1292.0,1330.1378173828125,333.8999938964844,1528.0,494.5697937011719,38.09999847412109,2135.0,612.0,184.65049743652344,701.0,1372.01904296875
2012-01-10,2506.89306640625,284.533203125,1132.0,843.5,223.8000030517578,1296.0,307.0,1254.41064453125,3024.5,304.1000061035156,173.94110107421875,3028.5,96.9000015258789,1312.0,470.7999877929688,906.5,479.6000061035156,1279.0,199.5,676.8131103515625,2064.76611328125,1255.0,1621.4560546875,1416.0,471.3559875488281,208.5,134.5,400.2999877929688,876.5,2406.0751953125,2145.015869140625,1732.0,401.7000122070313,1420.0,648.0,423.3999938964844,336.29998779296875,504.7000122070313,146.89999389648438,307.256103515625,1883.53466796875,174.5,2415.0,333.2777099609375,2101.0,71.80000305175781,7.070000171661377,255.0,673.5999755859375,107.0,27.309999465942383,737.8380737304688,357.70001220703125,483.6000061035156,53.40330123901367,688.9088134765625,211.3000030517578,2590.0,54.45000076293945,410.0826110839844,1138.0,540.0546875,506.5,1237.0,2402.0,517.5,3428.5,3279.181884765625,134.5,263.89630126953125,66.5999984741211,305.8999938964844,1271.0,316.00518798828125,193.88470458984372,507.0,131.14169311523438,943.5,120.4000015258789,599.0,2041.845458984375,1301.0,1363.45068359375,337.8999938964844,1539.0,493.9997863769531,38.66999816894531,2151.0,614.0,186.3708038330078,724.5,1413.2569580078125
2012-01-11,2515.35400390625,284.9523010253906,1130.0,844.5,222.1000061035156,1282.0,315.29998779296875,1286.9261474609375,3049.0,308.0,175.78860473632812,2977.5,97.0,1283.0,461.2999877929688,900.0,475.2999877929688,1286.0,201.5,675.1555786132812,2049.3818359375,1243.0,1593.885986328125,1399.0,469.5430908203125,208.5,135.0,396.3999938964844,865.5,2388.97021484375,2125.749755859375,1757.0,396.6499938964844,1445.5,656.0,423.7999877929688,338.6000061035156,503.6000061035156,152.6999969482422,313.2936096191406,1888.128662109375,173.89999389648438,2390.0,335.67138671875,2077.0,73.75,6.909999847412109,255.5,673.0665893554688,109.8000030517578,28.170000076293945,747.970703125,366.2000122070313,483.6000061035156,53.721900939941406,687.81787109375,217.8999938964844,2598.0,55.45000076293945,413.81060791015625,1154.0,546.6812133789062,499.7000122070313,1232.0,2327.5,517.5,3489.0,3307.526611328125,135.1999969482422,262.5235900878906,70.4000015258789,302.1000061035156,1299.0,316.63641357421875,191.6858062744141,495.0,129.15469360351562,959.5,121.9000015258789,603.5,2020.3070068359373,1264.0,1363.9266357421875,339.5,1529.0,487.6664123535156,38.75,2084.0,609.5,186.94430541992188,716.5,1399.5108642578125
2012-01-12,2543.224853515625,288.0252990722656,1138.0,871.5,221.0,1307.0,324.8999938964844,1313.4517822265625,3070.0,302.29998779296875,178.69839477539062,2990.0,107.1999969482422,1301.0,470.5,895.5,479.5,1285.0,199.6999969482422,669.630615234375,2097.762451171875,1250.0,1597.33203125,1399.5,473.1689147949219,208.5,137.5,405.0,862.5,2401.513916015625,2150.15185546875,1733.0,399.8999938964844,1451.5,660.5,424.7999877929688,338.29998779296875,499.6000061035156,154.8000030517578,324.5810852050781,1891.1912841796875,177.5,2414.0,341.3794860839844,2088.0,73.05000305175781,6.820000171661377,251.1000061035156,683.7332763671875,112.0999984741211,29.149999618530277,780.67138671875,367.2000122070313,491.3999938964844,53.66120147705078,687.81787109375,230.0,2595.0,74.0,409.3370056152344,1105.0,552.4793090820312,516.5,1222.0,2278.0,518.0,3547.5,3260.611328125,135.39999389648438,261.8373107910156,70.9000015258789,285.8999938964844,1345.0,312.74420166015625,193.11990356445312,504.0,127.93689727783205,955.0,122.9000015258789,596.0,2047.22998046875,1263.0,1377.2518310546875,339.3999938964844,1541.0,409.7030944824219,39.540000915527344,2085.0,611.0,187.15280151367188,732.5,1407.2430419921875
2012-01-13,2558.6533203125,285.65069580078125,1128.0,879.0,220.8000030517578,1299.0,323.20001220703125,1299.7611083984375,3047.0,303.0,185.8574066162109,2970.0,106.9000015258789,1298.0,466.0,882.5,476.2999877929688,1271.0,203.3999938964844,674.0505981445312,2083.439208984375,1243.0,1590.43994140625,1390.0,476.7947082519531,208.5,137.5,401.0,872.0,2406.0751953125,2137.3115234375,1687.0,400.0,1434.5,667.5,429.5,338.20001220703125,504.7000122070313,156.60000610351562,322.7435913085937,1891.1912841796875,178.3000030517578,2383.0,341.8398132324219,2071.0,73.6500015258789,6.835000038146973,251.8999938964844,677.8665771484375,111.5999984741211,29.5,786.1981811523438,364.8999938964844,486.7999877929688,53.93429946899414,681.81787109375,241.0,2596.0,72.3499984741211,408.5914001464844,1100.0,548.7518920898438,515.5,1217.0,2251.0,522.0,3561.0,3235.198974609375,131.8000030517578,261.66571044921875,71.80000305175781,284.1000061035156,1351.0,315.5845031738281,191.9727020263672,510.0,128.19329833984375,935.5,123.3000030517578,598.0,2036.4608154296875,1251.0,1395.3359375,335.8999938964844,1542.0,401.27978515625,41.119998931884766,2055.0,610.0,182.46099853515625,731.0,1398.65185546875
2012-01-16,2583.04052734375,286.4888000488281,1131.0,878.0,221.1000061035156,1301.0,324.5,1313.4517822265625,3070.5,304.8999938964844,183.9176025390625,2990.0,108.0,1296.0,467.0,880.0,478.0,1300.0,207.6000061035156,674.0505981445312,2095.534423828125,1243.0,1563.73095703125,1406.0,477.24798583984375,208.5,137.5,399.8999938964844,875.5,2394.671875,2147.583740234375,1707.0,396.7999877929688,1445.5,675.0,441.3999938964844,344.5,507.7000122070313,155.39999389648438,324.0560913085937,1868.221435546875,178.0,2361.0,343.773193359375,2085.0,73.94999694824219,6.954999923706055,246.5,676.2666015625,112.6999969482422,29.46500015258789,775.1444702148438,371.1000061035156,488.2000122070313,54.26810073852539,685.6361083984375,244.1999969482422,2607.0,72.30000305175781,402.2536926269531,1091.0,554.9641723632812,519.5,1250.0,2258.5,524.5,3589.0,3243.99560546875,134.39999389648438,262.1803894042969,72.75,283.20001220703125,1348.0,317.372802734375,190.92100524902344,509.5,130.50070190429688,937.5,124.5,596.0,2046.153076171875,1246.0,1397.239501953125,341.0,1549.0,395.6430969238281,40.75,2077.0,610.5,183.34719848632807,738.0,1388.34228515625
