,values
2015-08-28,2.693983680969711e-05
2015-08-31,3.212134227086343e-05
2015-09-01,2.8741026309504754e-05
2015-09-02,3.1738390069537014e-05
2015-09-03,2.668624178789527e-05
2015-09-04,2.7102345964522058e-05
2015-09-08,3.4526904966079844e-05
2015-09-09,3.7701520739175485e-05
2015-09-10,3.7406127342806914e-05
2015-09-11,3.7596873620803666e-05
2015-09-14,3.216057115040317e-05
2015-09-15,3.336224211977098e-05
2015-09-16,3.161082567983586e-05
2015-09-17,3.1477847014652525e-05
2015-09-18,2.9082193167131362e-05
2015-09-21,9.606778268935571e-05
2015-09-22,3.51734577365266e-05
2015-09-23,3.549506187243282e-05
2015-09-24,3.552051372066815e-05
2015-09-25,3.485857153355403e-05
2015-09-28,3.60325212882737e-05
2015-09-29,3.559461892459118e-05
2015-09-30,3.4409482848990346e-05
2015-10-01,3.3205640455597794e-05
2015-10-02,3.707561371316756e-05
2015-10-05,3.385162469872431e-05
2015-10-06,3.269194336636653e-05
2015-10-07,3.243264985192115e-05
2015-10-08,3.35624534958431e-05
2015-10-09,3.342708269287569e-05
2015-10-12,3.292682543359213e-05
2015-10-13,3.220164076842116e-05
2015-10-14,3.3965359759098574e-05
2015-10-15,3.5335361644017094e-05
2015-10-16,3.1793132237017674e-05
2015-10-19,3.2343535325056214e-05
2015-10-20,3.3027951706385494e-05
2015-10-21,3.279563184748737e-05
2015-10-22,3.62277959008112e-05
2015-10-23,3.497101714143536e-05
2015-10-26,3.416471225626195e-05
2015-10-27,3.464755018397652e-05
2015-10-28,3.633797632930645e-05
2015-10-29,3.546066431761427e-05
2015-10-30,3.275375604605661e-05
2015-11-02,3.26953803334414e-05
2015-11-03,3.804338621621458e-05
2015-11-04,3.771754448599219e-05
2015-11-05,3.4879239073947646e-05
2015-11-06,3.684838524148156e-05
2015-11-09,3.629768723316857e-05
2015-11-10,3.611274032308119e-05
2015-11-11,3.5891135861223516e-05
2015-11-12,3.3421496669444854e-05
2015-11-13,3.377665815788629e-05
2015-11-16,3.366274109350394e-05
2015-11-17,3.1929509101146906e-05
2015-11-18,3.941333422849914e-05
2015-11-19,3.5145218468897707e-05
2015-11-20,4.049185736786276e-05
2015-11-23,3.393207088352835e-05
2015-11-24,3.205387314439635e-05
2015-11-25,3.4139798168973426e-05
2015-11-27,3.3425706468370525e-05
2015-11-30,2.818278410669542e-05
2015-12-01,2.9574104916030316e-05
2015-12-02,3.4232357729246826e-05
2015-12-03,3.379330612937369e-05
2015-12-04,3.85327333662458e-05
2015-12-07,3.4918456101040515e-05
2015-12-08,3.20978935927712e-05
2015-12-09,3.937090325672995e-05
2015-12-10,3.9734604797422046e-05
2015-12-11,3.802334132216933e-05
2015-12-14,3.714348021075741e-05
2015-12-15,3.783911978257239e-05
2015-12-16,3.0044641046850543e-05
2015-12-17,3.249996422298271e-05
2015-12-18,3.5301688957230214e-05
2015-12-21,3.0502950013710657e-05
2015-12-22,2.995822994560184e-05
2015-12-23,2.9642746711623454e-05
2015-12-24,2.9539420064088155e-05
2015-12-28,2.9717205503371322e-05
2015-12-29,3.066089057708466e-05
2015-12-30,3.566532331566537e-05
2015-12-31,3.2713015441578283e-05
2016-01-04,2.873631536821849e-05
2016-01-05,3.172001838441164e-05
2016-01-06,3.255127591102576e-05
2016-01-07,3.4038949738667256e-05
2016-01-08,3.43279259083508e-05
2016-01-11,2.841692420123221e-05
2016-01-12,2.9310030299780008e-05
2016-01-13,3.0419215827975075e-05
2016-01-14,3.0456440666632797e-05
2016-01-15,2.838655462071218e-05
2016-01-18,2.7854458265000154e-05
2016-01-19,3.062948269913314e-05
2016-01-20,3.1967380617300895e-05
2016-01-21,3.2054311444852874e-05
2016-01-22,2.8389868010706554e-05
2016-01-25,2.795710871045081e-05
