,values
2015-08-28,5.981625033554484e-07
2015-08-31,9.351710172854046e-07
2015-09-01,6.553032919092245e-07
2015-09-02,2.5709798311190373e-07
2015-09-03,5.703552853629472e-07
2015-09-04,1.095365079041065e-06
2015-09-08,2.6418514942208834e-07
2015-09-09,2.6535207279064467e-07
2015-09-10,2.558843928946891e-07
2015-09-11,2.552419874478377e-07
2015-09-14,1.100681166093486e-06
2015-09-15,2.331783806075575e-06
2015-09-16,9.288068702642596e-07
2015-09-17,9.287723792278733e-07
2015-09-18,2.6012386975492725e-07
2015-09-21,3.261383794477017e-07
2015-09-22,3.583684930996977e-07
2015-09-23,3.498803891939124e-07
2015-09-24,9.325872568480497e-07
2015-09-25,2.5110919412974455e-07
2015-09-28,9.392700530779438e-07
2015-09-29,3.5593678798848193e-06
2015-09-30,3.2836456599192736e-07
2015-10-01,2.320306937186486e-06
2015-10-02,9.376145105747917e-07
2015-10-05,9.299891576722042e-07
2015-10-06,9.393034060788456e-07
2015-10-07,9.392368805971417e-07
2015-10-08,3.1770018814984647e-07
2015-10-09,3.1770018814984647e-07
2015-10-12,3.057852022943133e-07
2015-10-13,1.097810126966631e-06
2015-10-14,9.890794899611291e-07
2015-10-15,2.6310392278103056e-07
2015-10-16,9.42152702365083e-07
2015-10-19,3.1599891975904387e-07
2015-10-20,2.332197733436944e-06
2015-10-21,9.429127730919169e-07
2015-10-22,1.0966742615557128e-06
2015-10-23,9.327839039122049e-07
2015-10-26,9.480428081614413e-07
2015-10-27,9.284959593691481e-07
2015-10-28,9.461421000489705e-07
2015-10-29,9.515556664896085e-07
2015-10-30,2.3227852533768037e-06
2015-11-02,1.100322732743423e-06
2015-11-03,9.424960025639302e-07
2015-11-04,2.5171514113732933e-07
2015-11-05,1.0008267747966988e-06
2015-11-06,9.456837981054451e-07
2015-11-09,9.534204169909477e-07
2015-11-10,9.53420361899202e-07
2015-11-11,9.534192823316217e-07
2015-11-12,2.1592175900019076e-07
2015-11-13,2.0807762759395757e-07
2015-11-16,2.3199939667305263e-06
