,values
2014-03-12,2.255268178006586e-07
2014-03-13,2.255268178006586e-07
2014-03-14,2.47288883513822e-07
2014-03-17,2.2088926942195323e-07
2014-03-18,2.322003973730428e-07
2014-03-19,2.1893052769116895e-07
2014-03-20,2.5519066482815065e-07
2014-03-21,2.3709795909014176e-07
2014-03-24,2.2566336465866425e-07
2014-03-25,2.1646368658565457e-07
2014-03-26,3.9304354325950037e-07
2014-03-27,3.8066218643746124e-07
2014-03-28,1.2970679995640377e-07
2014-03-31,1.2970679995640377e-07
2014-04-01,1.2970679995640377e-07
2014-04-02,1.2970679995640377e-07
2014-04-03,1.2970679995640377e-07
2014-04-04,1.1906856400696424e-07
2014-04-07,1.2555815745910113e-07
2014-04-08,2.3421286418852605e-07
2014-04-09,2.112704555287814e-07
2014-04-10,1.8554835799986507e-07
2014-04-11,1.750821129691584e-07
2014-04-14,1.883925681103597e-07
2014-04-15,2.295523214859554e-07
2014-04-16,2.2426266157040042e-07
2014-04-17,2.1153668363674139e-07
2014-04-22,2.0098380384514673e-07
2014-04-23,1.4828060227623022e-07
2014-04-24,1.1775868804126612e-07
2014-04-25,1.5937238648315136e-07
2014-04-28,1.5937238648315136e-07
2014-04-29,1.8786162585980245e-07
2014-04-30,1.8786162585980245e-07
2014-05-02,1.8779564373235387e-07
2014-05-06,1.1510274002649177e-07
2014-05-07,1.843870734951512e-07
2014-05-08,1.9371400039231827e-07
2014-05-09,1.7183416736114054e-07
2014-05-12,1.1077682277006717e-07
2014-05-13,1.0751338667843046e-07
2014-05-14,1.0751338667843046e-07
2014-05-15,1.0751338667843046e-07
2014-05-16,1.1062551291472166e-07
2014-05-19,1.0751338667843046e-07
2014-05-20,1.1077682277006717e-07
2014-05-21,1.1077682277006717e-07
2014-05-22,1.1077682277006717e-07
2014-05-23,1.4874669669687167e-07
2014-05-27,1.0751338667843046e-07
2014-05-28,1.5950890214002478e-07
2014-05-30,1.5950890214002478e-07
2014-06-02,1.5966549296428402e-07
2014-06-03,1.5966549296428402e-07
2014-06-04,1.6632358270598332e-07
2014-06-05,1.687240098059009e-07
2014-06-06,3.0793744091607404e-07
2014-06-10,1.2970679995640377e-07
2014-06-11,1.2155285962420555e-07
2014-06-12,1.2970679995640377e-07
2014-06-13,1.4856564428022136e-07
2014-06-16,1.4355364003515984e-07
2014-06-17,1.4355364003515984e-07
2014-06-18,2.9300881700102427e-07
2014-06-19,1.4856564428022136e-07
2014-06-20,1.1388331329565313e-07
2014-06-23,1.3391119411618119e-07
2014-06-24,1.2124794587082117e-07
2014-06-25,2.912230602645188e-07
2014-06-26,1.5389355039521e-07
2014-06-27,1.7897472013015658e-07
2014-06-30,6.980868825804093e-08
2014-07-01,1.8630696763268024e-07
2014-07-02,6.388550747237069e-08
2014-07-03,1.9531087046316834e-07
2014-07-04,1.7546039545665758e-07
2014-07-07,1.9384684770177196e-07
2014-07-08,1.9527460448898108e-07
2014-07-09,2.269659375020525e-07
2014-07-10,2.3081164594743923e-07
2014-07-11,8.308077274619188e-08
2014-07-14,8.21504779520082e-08
2014-07-15,8.308077274619188e-08
