,values
2015-08-28,6.71315334144756e-05
2015-08-31,6.859613303620039e-05
2015-09-01,7.137107269782044e-05
2015-09-02,7.125132218454571e-05
2015-09-03,7.280302291751955e-05
2015-09-04,7.225862068553244e-05
2015-09-08,7.346686122104941e-05
2015-09-09,7.19558772127497e-05
2015-09-10,7.156772895945812e-05
2015-09-11,7.081218332877824e-05
2015-09-14,7.463563893460705e-05
2015-09-15,7.674225522204748e-05
2015-09-16,7.930467135012099e-05
2015-09-17,7.987433121262063e-05
2015-09-18,7.98387708841291e-05
2015-09-21,7.983614602727218e-05
2015-09-22,8.045590144965865e-05
2015-09-23,7.948749738403188e-05
2015-09-24,8.053174658339753e-05
2015-09-25,8.195084134810548e-05
2015-09-28,8.101310929865618e-05
2015-09-29,7.968180622244232e-05
2015-09-30,8.16444754757114e-05
2015-10-01,8.02567706468021e-05
2015-10-02,8.1209300495933e-05
2015-10-05,8.849108046608507e-05
2015-10-06,8.902752441601418e-05
2015-10-07,8.972678361104759e-05
2015-10-08,8.943004060159385e-05
2015-10-09,8.732215772942964e-05
2015-10-12,8.784956174120653e-05
2015-10-13,8.703612632769155e-05
2015-10-14,8.775806305444576e-05
2015-10-15,8.788276354892704e-05
2015-10-16,8.691233723641379e-05
2015-10-19,9.032875240708295e-05
2015-10-20,9.16988356549938e-05
2015-10-21,9.266356254038175e-05
2015-10-22,9.495748157835398e-05
2015-10-23,8.905502449297267e-05
2015-10-26,8.881574661018674e-05
2015-10-27,8.724398554939824e-05
2015-10-28,8.93260067315532e-05
2015-10-29,9.054232253741063e-05
2015-10-30,9.067383934957863e-05
2015-11-02,9.085891749234111e-05
2015-11-03,9.410226970329533e-05
2015-11-04,9.537873979861261e-05
2015-11-05,9.44847076006018e-05
2015-11-06,9.602016492533556e-05
2015-11-09,9.57490645885233e-05
2015-11-10,9.576111491533897e-05
2015-11-11,0.00010227228089181993
2015-11-12,0.00010276495386260241
2015-11-13,0.00010293990287340444
2015-11-16,0.00010232719186336592
2015-11-17,0.00010255848608558747
2015-11-18,0.00010318455297174785
2015-11-19,0.00010320474343053893
2015-11-20,0.00010278439235978962
2015-11-23,0.00010109981785213273
2015-11-24,9.445872022443582e-05
2015-11-25,9.234990054437703e-05
2015-11-27,9.232054691535579e-05
2015-11-30,9.19593666126471e-05
2015-12-01,9.222588578071796e-05
2015-12-02,8.936371495793939e-05
2015-12-03,8.822496097868115e-05
2015-12-04,8.846759777227179e-05
2015-12-07,8.703638914582572e-05
2015-12-08,8.706096768285871e-05
2015-12-09,8.691695008041546e-05
2015-12-10,8.327150889943791e-05
2015-12-11,8.552099040588166e-05
2015-12-14,8.51725658880932e-05
2015-12-15,8.662920377077262e-05
2015-12-16,8.723424585341232e-05
2015-12-17,8.274953167501713e-05
2015-12-18,8.39399237882665e-05
2015-12-21,8.319852487528561e-05
2015-12-22,8.364441159366337e-05
2015-12-23,8.614084402619163e-05
2015-12-24,8.636792553163729e-05
2015-12-28,8.590478983869131e-05
2015-12-29,8.667462377176477e-05
2015-12-30,8.800684188581362e-05
2015-12-31,8.675848396050577e-05
2016-01-04,8.629203788159503e-05
2016-01-05,8.663880760824037e-05
2016-01-06,8.599950584471406e-05
2016-01-07,8.769681495090291e-05
2016-01-08,8.650605879457979e-05
2016-01-11,8.550668630042462e-05
2016-01-12,8.766285599223434e-05
2016-01-13,8.852652597837797e-05
2016-01-14,9.16235174336478e-05
2016-01-15,9.059009414267702e-05
2016-01-18,9.207962408552425e-05
2016-01-19,9.261539536385498e-05
2016-01-20,9.475029491364214e-05
2016-01-21,9.488411040561404e-05
2016-01-22,9.747976003779765e-05
2016-01-25,9.864453616024345e-05
2016-01-26,0.00010445442490567378
2016-01-27,0.00010884871948811295
2016-01-28,0.00010824973299912133
2016-01-29,0.00010835375937248853
2016-02-01,0.00010842615217026968
2016-02-02,0.00010905816394180413
2016-02-03,0.00011168950675590878
2016-02-04,0.00011429325097888547
2016-02-05,0.00011623042101410078
2016-02-08,0.0001228056212863027
2016-02-09,0.00012439750949154048
2016-02-10,0.00011834747120946873
2016-02-11,0.00011828759465271074
2016-02-12,0.00011758166330137488
2016-02-16,0.0001231989190929031
2016-02-17,0.00011920294312527189
2016-02-18,0.00012285509556987076
2016-02-19,0.0001218047700595234
2016-02-22,0.00011802006804003049
2016-02-23,0.00011950162194433644
2016-02-24,0.00011456564426931226
2016-02-25,0.0001155418116834197
2016-02-26,0.00010550868426853141
2016-02-29,0.00010528929136866001
2016-03-01,0.00010414084718379519
2016-03-02,9.774520489969607e-05
2016-03-03,9.801596849021363e-05
2016-03-04,9.489702511152593e-05
2016-03-07,9.457008321764794e-05
2016-03-08,9.922544788173394e-05
2016-03-09,0.00010178494697666337
2016-03-10,9.919297440718979e-05
2016-03-11,0.0001051491960990092
2016-03-14,0.00010299737936805768
2016-03-15,0.00010489279879817595
2016-03-16,0.00010476322025676502
2016-03-17,0.0001043582538806543
2016-03-18,0.00010819408307851911
2016-03-21,0.00011531175052731617
2016-03-22,0.00011479737628955342
2016-03-23,0.00011216789455651605
2016-03-24,0.00011325458266566298
2016-03-28,0.00010927032900549314
2016-03-29,0.00011159968480874438
2016-03-30,0.00011181909821487873
2016-03-31,0.00010666874691780314
2016-04-01,9.724952195462572e-05
2016-04-04,9.851055151445423e-05
2016-04-05,0.00010261217736262797
2016-04-06,0.00010341256399862031
2016-04-07,0.00010282909711823861
2016-04-08,0.00010141666053348685
2016-04-11,0.00010148965601109627
2016-04-12,0.00010297679426421501
2016-04-13,0.00010352370038549448
2016-04-14,0.0001058350033227672
2016-04-15,0.00010475372643856824
