,values
2014-03-12,0.0001501960824496394
2014-03-13,0.0001408142981755903
2014-03-14,0.00013494081619881302
2014-03-17,0.000127135588149958
2014-03-18,0.00013005377967112986
2014-03-19,0.00013313408666969765
2014-03-20,0.0001690043652739698
2014-03-21,0.00020024633883257783
2014-03-24,0.0002310559279765038
2014-03-25,0.0001792674841676491
2014-03-26,0.00019698325902352623
2014-03-27,0.00021005383921545172
2014-03-28,0.00018470405106448055
2014-03-31,0.0001952634954077166
2014-04-01,0.00019462200385642934
2014-04-02,0.00019324314371599278
2014-04-03,0.00016461714644178203
2014-04-04,0.00015931403716071306
2014-04-07,0.00017190551038358867
2014-04-08,0.00017003593647506787
2014-04-09,0.00017107885499676075
2014-04-10,0.00016708891851403238
2014-04-11,0.00018950804495204248
2014-04-14,0.0001596675456172228
2014-04-15,0.00016496329673881685
2014-04-16,0.00014982522704801336
2014-04-17,0.0001399193821786617
2014-04-22,0.0001447794584130046
2014-04-23,0.00014463820708226154
2014-04-24,0.00014337020887972033
2014-04-25,0.00015018344486470025
2014-04-28,0.0001483481579631055
2014-04-29,0.00015064965807670813
2014-04-30,0.00014010812303023585
2014-05-02,0.00012665461958972992
2014-05-06,0.00012463502264449284
2014-05-07,0.00012695531615282565
2014-05-08,0.00012407702978417865
2014-05-09,0.000125148514779494
2014-05-12,0.00012481092704908045
2014-05-13,0.00012988514747263146
2014-05-14,0.00014004360003265728
2014-05-15,0.00014554482801410487
2014-05-16,0.0001467589927745614
2014-05-19,0.00014108629890992498
2014-05-20,0.00013641972867399163
2014-05-21,0.0001301668769333416
2014-05-22,0.0001281737611843389
2014-05-23,0.00012605019318265526
2014-05-27,0.0001354053337113647
2014-05-28,0.00013475001650432655
2014-05-30,0.0001508341621448264
2014-06-02,0.0001360780171106916
2014-06-03,0.00013303027119281432
2014-06-04,0.00012126015958655687
2014-06-05,0.0001128366695100172
2014-06-06,0.00011195987751922767
2014-06-10,0.00011292849827396239
2014-06-11,0.00011442883686036973
2014-06-12,0.00011742096337768334
2014-06-13,0.00011499654438870268
2014-06-16,0.00011350775404426995
2014-06-17,0.00011351671838986772
2014-06-18,0.0001040987657501743
2014-06-19,0.00010292306214689388
2014-06-20,0.00010505204678957318
2014-06-23,0.00011527337876672165
2014-06-24,0.000117705083971394
2014-06-25,0.00012134651531242216
2014-06-26,0.00011113873341310249
2014-06-27,0.00011125214060469225
2014-06-30,0.00010327199338646485
2014-07-01,9.404583822794902e-05
2014-07-02,9.127136713083935e-05
2014-07-03,8.866988759611514e-05
2014-07-04,8.597249856517853e-05
2014-07-07,8.903421626987869e-05
2014-07-08,8.815066879661038e-05
2014-07-09,9.075671373398112e-05
2014-07-10,9.330150211845781e-05
2014-07-11,8.694444981107347e-05
2014-07-14,8.279902254473174e-05
2014-07-15,8.297225885136586e-05
2014-07-16,8.270508772109467e-05
2014-07-17,8.3686325807763e-05
2014-07-18,0.00010261568716412602
2014-07-21,0.00012402402399759046
2014-07-22,0.00011516275413900548
2014-07-23,0.00011537018552821085
2014-07-24,0.00011398499710669972
2014-07-25,0.00010915405548992975
2014-07-28,0.00011230287562978299
2014-07-29,0.00012029251763089199
2014-07-30,0.00011509381448401962
2014-07-31,0.00012162155607505735
2014-08-04,0.00012834672144425196
2014-08-05,0.00014024655472125232
2014-08-06,0.00013445166674919712
2014-08-07,0.00013262604050249288
2014-08-08,0.0001284731224093408
2014-08-11,0.00012569153485457007
2014-08-12,0.00012287238011778826
2014-08-13,0.00012822487047542007
2014-08-14,0.00011577179444758007
2014-08-18,0.0001160288683757447
2014-08-19,0.00011643224803093815
2014-08-20,0.00012205615997507323
2014-08-21,0.00012553631526813377
2014-08-22,0.0001231581752593154
2014-08-26,0.00012994839743599287
2014-08-27,0.00014149515534564826
2014-08-28,0.00013977441439967325
2014-08-29,0.00013765848596956873
2014-09-01,0.0001328966060208095
2014-09-02,0.0001306308659906684
2014-09-03,0.0001258905984536075
2014-09-04,0.00011853203276739616
2014-09-05,0.00011491071578025264
2014-09-08,0.00010755173581877524
2014-09-09,0.00010985893969545451
2014-09-10,0.00011860857282204984
2014-09-11,0.00011213061076786033
2014-09-12,0.0001175729085890136
2014-09-15,0.00011603750389836885
2014-09-16,0.000128801331282313
2014-09-17,0.00013365750606804283
2014-09-18,0.00013438415565283056
2014-09-19,0.00013495306859513063
2014-09-22,0.00013675868302216027
2014-09-23,0.00013050049110937382
2014-09-24,0.0001288675684550949
2014-09-25,0.0001288443422803013
2014-09-26,0.0001274891409270425
2014-09-29,0.00012639789943557053
2014-09-30,0.00013065175965803078
2014-10-01,0.00011364648275861785
2014-10-02,8.989309544629883e-05
2014-10-06,9.127617108962451e-05
2014-10-07,8.801376850527912e-05
2014-10-08,8.976708545579452e-05
2014-10-09,8.428621956288682e-05
2014-10-10,8.636202701865616e-05
2014-10-13,8.45056284289093e-05
2014-10-14,8.211970220417063e-05
2014-10-15,8.073560344914751e-05
2014-10-16,8.063244955522769e-05
2014-10-17,8.537617910421773e-05
2014-10-20,8.926253023158916e-05
2014-10-21,9.209217713336314e-05
2014-10-22,8.80454637512044e-05
2014-10-23,9.304712888240539e-05
2014-10-24,8.81959300159455e-05
2014-10-27,9.034204621976907e-05
2014-10-28,8.859462715726611e-05
2014-10-29,8.814948392340678e-05
2014-10-30,8.565158353345071e-05
2014-10-31,8.777341772897809e-05
2014-11-03,8.515382454332087e-05
2014-11-04,8.658423039016212e-05
2014-11-05,8.762840581012207e-05
2014-11-06,8.756154733379054e-05
2014-11-07,8.630828320057156e-05
2014-11-10,8.256307116457277e-05
2014-11-11,8.539885112206032e-05
2014-11-12,8.616066639760477e-05
2014-11-13,8.780968672745517e-05
2014-11-14,7.977325321805713e-05
2014-11-17,7.956765678293222e-05
2014-11-18,7.988408626786363e-05
2014-11-19,7.674536598302557e-05
2014-11-20,7.610654830859993e-05
2014-11-21,7.704302950000576e-05
2014-11-24,7.587686074300324e-05
2014-11-25,7.584571844967417e-05
2014-11-26,7.64582142407216e-05
2014-11-27,7.75672778250209e-05
2014-11-28,7.763844567072625e-05
2014-12-01,7.88642309841036e-05
2014-12-02,8.031573543273876e-05
2014-12-03,7.924109834144189e-05
2014-12-04,7.660004223555366e-05
2014-12-05,7.302880384700099e-05
2014-12-08,8.52567555671719e-05
2014-12-09,8.765152289134797e-05
2014-12-10,9.012459297399481e-05
2014-12-11,9.136388170212574e-05
2014-12-12,9.429796689365301e-05
2014-12-15,9.582054404189721e-05
2014-12-16,9.979420420078302e-05
2014-12-17,9.392430610603188e-05
2014-12-18,0.00010453691002347311
2014-12-19,0.00011610759805448094
2014-12-22,0.00012409400347667055
2014-12-23,0.000119777514994347
2014-12-29,0.00011406249945368954
2014-12-30,0.0001146010761158522
2015-01-05,0.00011202602525474647
2015-01-06,0.00010747301887382634
2015-01-07,9.7867468654156e-05
2015-01-08,0.00011632661449884705
2015-01-09,0.00011249376810012175
2015-01-12,0.0001040890348892826
