,values
2015-08-28,6.701179870092745e-07
2015-08-31,6.711891431809564e-07
2015-09-01,6.707287131540672e-07
2015-09-02,6.699763175414153e-07
2015-09-03,6.684433455303207e-07
2015-09-04,6.684433455303207e-07
2015-09-08,6.683663355536438e-07
2015-09-09,6.694687536563937e-07
2015-09-10,6.701470451054481e-07
2015-09-11,6.698252379671732e-07
2015-09-14,6.69771679889328e-07
2015-09-15,6.701207459779812e-07
2015-09-16,6.683535897045989e-07
2015-09-17,6.699611976795942e-07
2015-09-18,6.969530654468638e-07
2015-09-21,6.969530654468638e-07
2015-09-22,6.700203447479737e-07
2015-09-23,6.713508486547541e-07
2015-09-24,6.683559691672466e-07
2015-09-25,6.680919271778344e-07
2015-09-28,6.684433455303207e-07
2015-09-29,6.69987683864286e-07
2015-09-30,6.683280863275565e-07
2015-10-01,6.947141386524257e-07
2015-10-02,6.709109016508766e-07
2015-10-05,6.699903573741661e-07
2015-10-06,6.681599662859527e-07
2015-10-07,6.682085858221841e-07
2015-10-08,6.681114477529614e-07
2015-10-09,6.681151163432104e-07
2015-10-12,6.68093380143671e-07
2015-10-13,6.682900487146234e-07
2015-10-14,6.68093440151663e-07
2015-10-15,6.681416904421296e-07
2015-10-16,6.682354293433431e-07
2015-10-19,6.694068259420879e-07
2015-10-20,6.681427026731952e-07
2015-10-21,6.681427026731952e-07
2015-10-22,6.694194700677387e-07
2015-10-23,6.729414943454964e-07
2015-10-26,6.681550935885204e-07
2015-10-27,7.132631168768778e-07
2015-10-28,7.132631168768778e-07
2015-10-29,6.703276303671932e-07
2015-10-30,7.132631168768778e-07
2015-11-02,6.749234444357659e-07
2015-11-03,7.092834292527356e-07
2015-11-04,6.729186394649374e-07
2015-11-05,7.237957378300087e-07
2015-11-06,7.237957378300087e-07
2015-11-09,6.720532640591751e-07
2015-11-10,6.685195464240443e-07
2015-11-11,6.711981551715529e-07
2015-11-12,6.701214973834192e-07
2015-11-13,7.193532242231067e-07
2015-11-16,6.715239408556908e-07
2015-11-17,7.191102301782483e-07
2015-11-18,6.683317984346595e-07
2015-11-19,6.714807915424279e-07
2015-11-20,6.699579484602423e-07
2015-11-23,6.683317984346595e-07
2015-11-24,7.237957378300086e-07
2015-11-25,6.730144764400471e-07
2015-11-27,6.730144764400471e-07
2015-11-30,6.730144764400471e-07
2015-12-01,6.730144764400467e-07
2015-12-02,6.896211759434438e-07
2015-12-03,6.683561741564676e-07
2015-12-04,6.699975774793332e-07
2015-12-07,7.192591703353582e-07
2015-12-08,6.693684762359926e-07
2015-12-09,6.69371422541229e-07
2015-12-10,6.69371422541229e-07
2015-12-11,6.680880212100265e-07
2015-12-14,6.681416904421296e-07
2015-12-15,7.164383768844466e-07
2015-12-16,7.163943921853562e-07
2015-12-17,7.163943921853562e-07
2015-12-18,7.163844061665368e-07
2015-12-21,6.040501751908021e-07
2015-12-22,6.029213349231092e-07
2015-12-23,6.613312297054093e-07
2015-12-24,6.609203952315313e-07
2015-12-28,6.013746459460512e-07
2015-12-29,6.05269745958095e-07
2015-12-30,6.499751685073582e-07
2015-12-31,6.923894392507982e-07
2016-01-04,6.45750095391598e-07
2016-01-05,6.013214715990066e-07
2016-01-06,6.694194700677387e-07
2016-01-07,6.013746459460512e-07
2016-01-08,6.677714175153832e-07
2016-01-11,5.699589340803724e-07
2016-01-12,6.671557819693276e-07
2016-01-13,6.012724325232081e-07
2016-01-14,6.009524229833151e-07
2016-01-15,6.18083093528044e-07
2016-01-18,6.056925906560723e-07
2016-01-19,6.056053558862569e-07
2016-01-20,6.050358423528391e-07
2016-01-21,6.456303222911909e-07
2016-01-22,6.454164311619221e-07
2016-01-25,6.438251120058365e-07
2016-01-26,6.440756886675932e-07
2016-01-27,6.583578001525454e-07
2016-01-28,6.450589110701441e-07
2016-01-29,6.19256781858175e-07
2016-02-01,6.590553511803737e-07
2016-02-02,6.591848846502155e-07
2016-02-03,6.627398396040443e-07
2016-02-04,6.634307171921012e-07
2016-02-05,6.04087870276315e-07
2016-02-08,6.038360432215049e-07
2016-02-09,6.454569579575079e-07
2016-02-10,6.451113924178144e-07
2016-02-11,6.453758477493549e-07
2016-02-12,6.454164311619221e-07
2016-02-16,6.455765635690791e-07
2016-02-17,6.648742511598377e-07
2016-02-18,6.458127381211029e-07
2016-02-19,7.122284728721965e-07
2016-02-22,6.774988580953072e-07
2016-02-23,6.734979286178223e-07
2016-02-24,6.734979286178223e-07
2016-02-25,6.941405231268573e-07
2016-02-26,7.142583282949316e-07
2016-02-29,7.142231533209612e-07
2016-03-01,7.142583282949316e-07
2016-03-02,7.142133029479715e-07
2016-03-03,7.308951869842607e-07
2016-03-04,7.13602339773164e-07
2016-03-07,7.14199944366112e-07
2016-03-08,7.13602339773164e-07
2016-03-09,7.13602339773164e-07
2016-03-10,7.138499217286403e-07
2016-03-11,7.309103087693687e-07
2016-03-14,7.114692316682975e-07
2016-03-15,8.056963789619274e-07
