,values
2014-03-12,2.586332672095988e-07
2014-03-13,2.7041844794216183e-07
2014-03-14,2.7070724798608054e-07
2014-03-17,2.708702065122054e-07
2014-03-18,8.778844447215624e-08
2014-03-19,2.837369343674377e-07
2014-03-20,8.820292162624917e-08
2014-03-21,2.975975582828122e-07
2014-03-24,2.5920283304889063e-07
2014-03-25,2.708702065122054e-07
2014-03-26,2.4977067031096076e-07
2014-03-27,2.4703543442357283e-07
2014-03-28,2.282678406023666e-07
2014-03-31,2.2798109475998798e-07
2014-04-01,2.2891973738317858e-07
2014-04-02,3.837522818440144e-07
2014-04-03,9.768915543636353e-08
2014-04-04,2.17436937958601e-07
2014-04-07,1.352558326973564e-07
2014-04-08,1.9145588382392545e-07
2014-04-09,2.8668773969637124e-07
2014-04-10,2.736405976134863e-07
2014-04-11,9.564618613701012e-08
2014-04-14,2.0064858305612333e-07
2014-04-15,2.4759468332849685e-07
2014-04-16,2.463543241723528e-07
2014-04-17,3.019791214228487e-07
2014-04-22,3.5946658308698067e-07
2014-04-23,2.357244610178695e-07
2014-04-24,2.2891973738317858e-07
2014-04-25,2.49113143966778e-07
2014-04-28,4.3749696136960466e-07
2014-04-29,1.9115155931095668e-07
2014-04-30,2.4780498882151213e-07
2014-05-02,2.0804877268103827e-07
2014-05-06,2.1036514847004113e-07
2014-05-07,2.4882540276767277e-07
2014-05-08,2.4624461653233917e-07
2014-05-09,2.460676071880865e-07
2014-05-12,2.1641204466673271e-07
2014-05-13,2.174451455372554e-07
2014-05-14,2.410596481843579e-07
2014-05-15,8.155864049511645e-08
2014-05-16,2.0824323246803228e-07
2014-05-19,2.0824323246803228e-07
2014-05-20,2.089091995510243e-07
2014-05-21,2.7480720193612485e-07
2014-05-22,2.0824323246803228e-07
2014-05-23,2.0786811733615367e-07
2014-05-27,2.0786811733615367e-07
2014-05-28,2.1767360677285978e-07
2014-05-30,2.3663698677496977e-07
2014-06-02,2.2556191916578403e-07
2014-06-03,2.0728996885102985e-07
2014-06-04,2.067605399523749e-07
2014-06-05,3.8326179334617257e-07
2014-06-06,2.639515879473074e-07
2014-06-10,3.28564778834289e-07
2014-06-11,2.066087319426033e-07
2014-06-12,3.2891609546687406e-07
2014-06-13,2.2798109475998798e-07
2014-06-16,2.2798109475998798e-07
2014-06-17,2.267679635722318e-07
2014-06-18,2.3805785272273588e-07
2014-06-19,2.3752214958034993e-07
2014-06-20,2.3663698677496977e-07
2014-06-23,2.267679635722318e-07
2014-06-24,2.3704339915157007e-07
2014-06-25,2.267679635722318e-07
2014-06-26,2.197472502744016e-07
2014-06-27,2.3805785272273588e-07
2014-06-30,2.4572108675014945e-07
2014-07-01,2.3533800954390997e-07
2014-07-02,2.174451455372554e-07
2014-07-03,2.2622138546240452e-07
2014-07-04,2.965698544560043e-07
2014-07-07,2.5013904203117675e-07
2014-07-08,2.2537195108060688e-07
2014-07-09,2.5794391921122357e-07
2014-07-10,2.1595770715175668e-07
2014-07-11,2.4573733091220163e-07
2014-07-14,7.418332118947656e-08
2014-07-15,2.4853993864077594e-07
2014-07-16,6.489997089619962e-07
2014-07-17,1.4381927356780016e-07
2014-07-18,1.0993145601276563e-07
2014-07-21,7.416148549561005e-07
2014-07-22,7.549057294372031e-08
2014-07-23,1.4030525557212815e-07
2014-07-24,6.015895902773269e-08
2014-07-25,7.43633806424027e-08
2014-07-28,1.1248385446514003e-07
2014-07-29,8.041104199677488e-08
2014-07-30,1.9865872092564117e-07
2014-07-31,6.867339489893814e-08
2014-08-04,1.279763255481906e-07
2014-08-05,1.279763255481906e-07
2014-08-06,2.068188140091745e-07
2014-08-07,2.0689293969283218e-07
2014-08-08,5.8552312106503184e-08
2014-08-11,1.690594535741619e-07
2014-08-12,6.093513972331849e-08
2014-08-13,6.279287288226752e-08
2014-08-14,8.290757578696138e-08
2014-08-18,9.684354505800693e-08
2014-08-19,1.690594535741619e-07
2014-08-20,1.2309731071808544e-07
2014-08-21,1.086284225178833e-07
2014-08-22,6.8416740980848e-08
2014-08-26,2.572693956605318e-07
2014-08-27,7.108664059379115e-08
2014-08-28,1.2717765338704116e-07
2014-08-29,5.6000298680484195e-08
2014-09-01,5.493897880705625e-08
2014-09-02,5.369782852701389e-08
2014-09-03,4.032440985579766e-07
2014-09-04,5.3061037531316884e-08
2014-09-05,5.238447302614957e-08
2014-09-08,5.369782852701389e-08
2014-09-09,1.981503603674173e-07
2014-09-10,3.625125295563399e-07
2014-09-11,3.821353943207057e-07
2014-09-12,1.9027874277687577e-07
2014-09-15,6.600724224495243e-08
2014-09-16,6.18757046458675e-08
2014-09-17,6.18757046458675e-08
2014-09-18,6.600724224495243e-08
2014-09-19,5.44977706897068e-08
2014-09-22,1.0244513740979123e-07
2014-09-23,5.256073067875003e-08
2014-09-24,3.112184287279362e-07
2014-09-25,1.5120941771143445e-07
2014-09-26,6.488918267637999e-08
2014-09-29,6.488918267637999e-08
2014-09-30,1.4080004162797742e-07
2014-10-01,1.690594535741619e-07
2014-10-02,4.506308630955674e-07
2014-10-06,5.369782852701389e-08
2014-10-07,4.032440985579766e-07
2014-10-08,3.821353943207057e-07
2014-10-09,5.060371247185926e-07
2014-10-10,2.6945394576275617e-07
2014-10-13,5.3385458540457576e-08
2014-10-14,9.95505300224014e-08
2014-10-15,6.974988145888696e-08
2014-10-16,6.488918267637999e-08
2014-10-17,7.108664059379115e-08
2014-10-20,2.350172257810069e-07
2014-10-21,4.2610964208589467e-07
2014-10-22,4.2610964208589467e-07
2014-10-23,6.974988145888693e-08
2014-10-24,5.371735609160401e-07
2014-10-27,8.711107757238077e-08
2014-10-28,5.493897880705625e-08
2014-10-29,6.479183127365479e-07
2014-10-30,6.093513972331849e-08
2014-10-31,5.2011440368012294e-08
2014-11-03,3.112184287279362e-07
2014-11-04,6.716964637623581e-08
2014-11-05,5.60002986804842e-08
2014-11-06,5.40796374635712e-08
2014-11-07,5.40796374635712e-08
2014-11-10,6.011191970395591e-08
2014-11-11,6.600724224495243e-08
2014-11-12,2.1554162425642668e-07
2014-11-13,7.405673134660248e-08
2014-11-14,3.625125295563399e-07
2014-11-17,2.0658997819560394e-07
2014-11-18,1.2717765338704116e-07
2014-11-19,5.6000298680484195e-08
2014-11-20,6.381025199151932e-08
2014-11-21,6.600724224495243e-08
2014-11-24,6.600724224495243e-08
2014-11-25,6.381025199151932e-08
2014-11-26,6.093513972331849e-08
2014-11-27,5.369782852701389e-08
2014-11-28,2.4571967862649686e-07
2014-12-01,2.350172257810069e-07
2014-12-02,7.255946083809338e-08
2014-12-03,6.279287288226753e-08
2014-12-04,5.781514458934701e-08
2014-12-05,5.201144036801231e-08
2014-12-08,6.600724224495243e-08
2014-12-09,5.3061037531316884e-08
2014-12-10,1.4080004162797742e-07
2014-12-11,5.40796374635712e-08
2014-12-12,5.718863868430379e-08
2014-12-15,5.44977706897068e-08
2014-12-16,6.093513972331849e-08
2014-12-17,5.654019609508635e-08
2014-12-18,6.011191970395591e-08
2014-12-19,6.011191970395591e-08
2014-12-22,5.6000298680484195e-08
2014-12-23,5.781514458934702e-08
2014-12-29,5.654019609508635e-08
2014-12-30,5.930494569306631e-08
2015-01-05,8.919685574679646e-08
2015-01-06,3.008974638728865e-07
2015-01-07,3.875286400317537e-07
2015-01-08,1.3043705578525336e-07
2015-01-09,1.353817102983523e-07
2015-01-12,3.8886866044198324e-07
2015-01-13,7.386948544430266e-08
2015-01-14,9.874058736490447e-08
2015-01-15,7.748859120349505e-08
2015-01-16,5.942141897428092e-08
2015-01-19,5.8708146656209506e-08
2015-01-20,4.3729307568100115e-07
2015-01-21,1.4786903948451847e-06
2015-01-22,6.233375490301644e-07
2015-01-23,1.4607682602408768e-07
2015-01-26,2.2015723179262688e-07
2015-01-27,2.0824323246803228e-07
2015-01-28,6.94773725624883e-08
2015-01-29,3.8812674732812783e-07
2015-01-30,1.6415253523674701e-06
2015-02-02,3.372236808960032e-07
2015-02-03,1.477196413582815e-06
2015-02-04,2.785695287323589e-07
2015-02-05,7.841258393412212e-08
2015-02-06,2.361282943610907e-07
2015-02-09,1.4835250036517768e-06
2015-02-10,9.761182755845787e-07
2015-02-11,9.761182755845787e-07
2015-02-12,2.792597019218993e-07
2015-02-13,9.761182755845787e-07
2015-02-16,1.2022487734899818e-06
2015-02-17,2.0971915792745585e-07
2015-02-18,1.204585182296978e-06
2015-02-19,1.204585182296978e-06
2015-02-20,2.2361350029334233e-07
2015-02-23,9.791782964475152e-07
2015-02-24,1.203368211090348e-06
2015-02-25,9.761182755845787e-07
2015-02-26,9.791782964475152e-07
2015-02-27,1.2192506567467602e-06
2015-03-02,1.4203673568137902e-06
2015-03-03,2.736405976134864e-07
2015-03-04,2.752416976625373e-07
2015-03-05,9.774566280166975e-07
2015-03-06,9.774566280166975e-07
2015-03-09,1.4743995390302329e-06
